Hospital,Department,n_type1,n_type2,,,,,,,,,
Aalborg Universitetshospital,Alb Akut Modtageafdeling,-,-,,,,,,,,,
Aalborg Universitetshospital,Alb Børne Akut Amb,-,-,,,,,,,,,
Aalborg Universitetshospital,Alb Børneafd. amb.,683,-,,,,,,,,,
Aalborg Universitetshospital,Alb Børneafdeling,-,-,,,,,,,,,
Aalborg Universitetshospital,Alb Dagafdeling Børn,<5,-,,,,,,,,,
Aalborg Universitetshospital,Alb Endokrin - Deldøgnsafs,257,-,,,,,,,,,
Aalborg Universitetshospital,Alb Endokrin. amb.,4.819,3.419,,,,,,,,,
Aalborg Universitetshospital,Alb Endokrinologisk afd.,-,-,,,,,,,,,
Aalborg Universitetshospital,Alb Geriatrisk Afd.,-,-,,,,,,,,,
Aalborg Universitetshospital,Alb Hæmatologisk afd.,-,-,,,,,,,,,
Aalborg Universitetshospital,Alb Infektionsmed. sengeafd.,-,-,,,,,,,,,
Aalborg Universitetshospital,Alb Kardiologisk Afd.,-,-,,,,,,,,,
Aalborg Universitetshospital,Alb Kardiologisk Amb.,<5,57,,,,,,,,,
Aalborg Universitetshospital,Alb Karkirurgisk Ambulatorium,<5,8,,,,,,,,,
Aalborg Universitetshospital,Alb Med gastroenterologisk amb,<5,<5,,,,,,,,,
Aalborg Universitetshospital,Alb Nyremed. dagafdeling,<5,28,,,,,,,,,
Aalborg Universitetshospital,Alb Nyremedicinsk ambulatorium,34,250,,,,,,,,,
Aalborg Universitetshospital,Alb Nyremedicinsk sengeafdeling,-,-,,,,,,,,,
Aalborg Universitetshospital,Alb O-kir ambulant,129,592,,,,,,,,,
Aalborg Universitetshospital,Alb O-kir sengeafdeling,-,-,,,,,,,,,
Aalborg Universitetshospital,Alb Onkologisk afd.,-,-,,,,,,,,,
Aalborg Universitetshospital,Alb Skade-Modtageafsnit,-,-,,,,,,,,,
Aalborg Universitetshospital,Alb Øjenafd. amb.,5,-,,,,,,,,,
Aalborg Universitetshospital,Far Medicinsk Ambulatorium,440,1.085,,,,,,,,,
Aalborg Universitetshospital,Far O-kir sengeafdeling,-,-,,,,,,,,,
Aalborg Universitetshospital,Hjr O-kir ambulatorium,10,29,,,,,,,,,
Aalborg Universitetshospital,Hjr O-kir sengeafdeling,-,-,,,,,,,,,
Aalborg Universitetshospital,Hob Akut Medicinsk Modtageafdeling,-,-,,,,,,,,,
Aalborg Universitetshospital,Hob Medicinsk Amb,9,26,,,,,,,,,
Aalborg Universitetshospital,ON Skadestuer,-,-,,,,,,,,,
