YEAR_MONTH;BRICK_CODE;VOLUME;VALUE;MARKET
201907;101;162;86364,14;DPP-IV
201907;102;588;302423,32;DPP-IV
201907;103;265;137668,46;DPP-IV
201907;104;364;184427,72;DPP-IV
201907;105;300;164231,93;DPP-IV
201907;106;906;485861,86;DPP-IV
201907;107;343;183936,6;DPP-IV
201907;108;229;117595,83;DPP-IV
201907;109;211;121047,24;DPP-IV
201907;110;270;154591;DPP-IV
201907;111;409;212845,53;DPP-IV
201907;112;328;159384,36;DPP-IV
201907;113;487;233718,22;DPP-IV
201907;114;415;227634,92;DPP-IV
201907;115;569;281884,83;DPP-IV
201907;116;628;284523,39;DPP-IV
201907;201;522;250789,12;DPP-IV
201907;202;379;178040,53;DPP-IV
201907;203;569;319787,72;DPP-IV
201907;204;290;143538,85;DPP-IV
201907;205;317;166429,72;DPP-IV
201907;206;406;170607,15;DPP-IV
201907;207;228;111058,62;DPP-IV
201907;208;289;160140,25;DPP-IV
201907;209;214;110731,36;DPP-IV
201907;301;242;125296,59;DPP-IV
201907;302;291;156240,88;DPP-IV
201907;303;243;118244,94;DPP-IV
201907;304;386;221145,81;DPP-IV
201907;305;174;96236,98;DPP-IV
201907;306;250;125893,08;DPP-IV
201907;307;441;223988,6;DPP-IV
201907;308;484;275907,32;DPP-IV
201907;309;268;123370,11;DPP-IV
201907;310;104;46932,28;DPP-IV
201907;311;301;177649,45;DPP-IV
201907;312;460;257810,57;DPP-IV
201907;313;382;178414,01;DPP-IV
201907;314;310;157138,3;DPP-IV
201907;315;289;153049,81;DPP-IV
201907;401;168;87823,41;DPP-IV
201907;402;381;201446,48;DPP-IV
201907;403;138;67063,17;DPP-IV
201907;404;574;320746,59;DPP-IV
201907;405;335;181338,65;DPP-IV
201907;406;339;176702,99;DPP-IV
201907;407;144;80579,91;DPP-IV
201907;408;374;224803,55;DPP-IV
201907;409;203;115513,7;DPP-IV
201907;410;330;171715,78;DPP-IV
201907;411;507;256798,14;DPP-IV
201907;412;279;155424,04;DPP-IV
201907;501;397;218425,36;DPP-IV
201907;502;207;110756,51;DPP-IV
201907;503;376;221548,31;DPP-IV
201907;504;276;139083,06;DPP-IV
201907;505;192;102649,21;DPP-IV
201907;506;261;148880,97;DPP-IV
201907;507;234;145779,35;DPP-IV
201907;508;361;216272,71;DPP-IV
201907;601;109;86888,06;DPP-IV
201907;700;62;31136,64;DPP-IV
201908;101;104;53502,22;DPP-IV
201908;102;557;289923,66;DPP-IV
201908;103;262;114115,96;DPP-IV
201908;104;242;122894,23;DPP-IV
201908;105;280;153346,4;DPP-IV
201908;106;767;434524,05;DPP-IV
201908;107;343;167996,34;DPP-IV
201908;108;202;114681,34;DPP-IV
201908;109;176;108112,24;DPP-IV
201908;110;183;115883,33;DPP-IV
201908;111;368;192486,78;DPP-IV
201908;112;269;146022,24;DPP-IV
201908;113;339;178598,85;DPP-IV
201908;114;393;191564,42;DPP-IV
201908;115;445;249760,34;DPP-IV
201908;116;534;259816,79;DPP-IV
201908;201;466;226552,76;DPP-IV
201908;202;338;186523,02;DPP-IV
201908;203;533;275713,04;DPP-IV
201908;204;241;132793,25;DPP-IV
201908;205;251;137663,67;DPP-IV
201908;206;335;156820,35;DPP-IV
201908;207;233;124722,44;DPP-IV
201908;208;267;148958,64;DPP-IV
201908;209;232;110068,63;DPP-IV
201908;301;192;104989,65;DPP-IV
201908;302;247;142726,52;DPP-IV
201908;303;200;109096,93;DPP-IV
201908;304;340;178607,64;DPP-IV
201908;305;126;61005,19;DPP-IV
201908;306;183;88213,26;DPP-IV
201908;307;390;223382,81;DPP-IV
201908;308;454;252000,47;DPP-IV
201908;309;225;109741,87;DPP-IV
201908;310;117;60716,76;DPP-IV
201908;311;244;133976,28;DPP-IV
201908;312;333;165883,9;DPP-IV
201908;313;413;194704,67;DPP-IV
201908;314;272;144150,2;DPP-IV
201908;315;255;136574,44;DPP-IV
201908;401;162;97289,42;DPP-IV
201908;402;338;182441,18;DPP-IV
201908;403;120;65427,38;DPP-IV
201908;404;490;263617,86;DPP-IV
201908;405;295;156258,53;DPP-IV
201908;406;334;180469,08;DPP-IV
201908;407;111;53159,38;DPP-IV
201908;408;370;211035,81;DPP-IV
201908;409;221;118945,18;DPP-IV
201908;410;257;133446,99;DPP-IV
201908;411;558;303377,78;DPP-IV
201908;412;290;159980,46;DPP-IV
201908;501;400;247539;DPP-IV
201908;502;275;165474,1;DPP-IV
201908;503;331;178470,86;DPP-IV
201908;504;259;142762,98;DPP-IV
201908;505;131;72680,11;DPP-IV
201908;506;290;187316,02;DPP-IV
201908;507;198;120512,65;DPP-IV
201908;508;329;193246,65;DPP-IV
201908;601;120;91217,17;DPP-IV
201908;700;95;57515,56;DPP-IV
201909;101;114;59160,59;DPP-IV
201909;102;582;322322,95;DPP-IV
201909;103;212;107881,03;DPP-IV
201909;104;265;147933,21;DPP-IV
201909;105;264;155466,56;DPP-IV
201909;106;814;443287,3;DPP-IV
201909;107;356;181849,18;DPP-IV
201909;108;153;88534,14;DPP-IV
