YEAR_MONTH,SECTOR_CODE,VOLUME,VALUE,WHO_ATC_CODE,MUNICIPALITY
202008,P,2,1910.0,A10BD20,Allerød
202008,P,5,1562.7,A10AE04,Hillerød
202008,P,-1,-737.87,A10BJ01,Haderslev
202008,P,1,347.86,A10BK03,Dragør
202008,P,75,50091.0,A10BJ06,Høje-Taastrup
202008,P,1,777.89,A10BD07,Morsø
202008,P,2,1449.0,A10BD08,Billund
202008,P,1,191.35,A10AB05,Aarhus
202008,P,3,530.22,A10AB05,Faxe
202008,P,1,36.0,A10BB09,Other
202008,P,-1,-332.29,A10BD20,Randers
202008,P,1,261.0,A10AB05,Odder
202008,P,1,255.0,A10AB06,Assens
202008,P,1,230.27,A10BD07,København
202008,P,1,166.21,A10AB05,Silkeborg
202008,P,27,17606.81,A10BJ06,Sorø
202008,P,1,334.8,A10BK02,Syddjurs
202008,P,1,707.45,A10BD07,Furesø
202008,P,1,279.65,A10BH01,Fredensborg
202008,P,2,624.54,A10BK01,Hvidovre
202008,P,11,18963.07,A10BJ02,Silkeborg
202008,P,0,0.0,A10BK01,Syddjurs
202008,P,3,932.06,A10AE04,Holbæk
202008,P,6,5724.0,A10BK01,Vejen
202008,P,2,3469.21,A10BJ02,Vesthimmerland
202008,P,-1,-887.0,A10BD15,Slagelse
202008,P,-2,-391.74,A10AC01,Høje-Taastrup
202008,P,7,5367.39,A10BD07,Solrød
202008,S,1,609.41,A10BJ06,Odense
202008,P,1,769.3,A10BH04,Tårnby
202008,P,-7,-1196.93,A10AB05,Brøndby
202008,P,4,2964.0,A10BJ06,Nordfyn
202008,P,9,2592.36,A10AE04,Lyngby-Taarbæk
202008,P,272,3615.62,A10BA02,Kolding
202008,P,3,76.8,A10BB12,Nyborg
202008,P,2,548.2,A10AB05,Nordfyn
202008,P,21,9933.0,A10AE06,Rødovre
202008,P,3,1857.66,A10BJ06,Helsingør
202008,P,1,1581.15,A10BJ02,Stevns
202008,P,-3,-2355.0,A10BD07,Vordingborg
202008,P,7,2108.05,A10BK01,Gentofte
202008,P,5,1680.5,A10AE04,Kalundborg
202008,P,23,21556.08,A10BH01,Viborg
202008,P,3,916.8,A10BH01,Fredericia
202008,P,2,1522.45,A10BD07,Høje-Taastrup
202008,P,0,-16.19,A10BD08,Sorø
202008,P,3,444.0,A10BB01,Tønder
202008,P,2,281.22,A10BB07,Randers
202008,P,2,1522.45,A10BD07,Thisted
202008,P,9,2508.31,A10AC01,Vordingborg
202008,P,15,5011.45,A10BK03,Herning
202008,P,12,3249.0,A10AC01,Gribskov
202008,P,20,5902.2,A10AB05,Hvidovre
202008,P,4,124.4,A10BB12,Frederikssund
202008,P,-1,-1130.0,A10BK01,Høje-Taastrup
202008,P,6,2124.97,A10BH02,Fredericia
202008,P,4,2915.8,A10BD08,Glostrup
202008,P,1,575.48,A10BJ05,Odder
202008,P,1,427.91,A10BH01,Kolding
202008,P,9,3439.35,A10AE05,Rødovre
202008,P,4,1044.0,A10AB05,Bornholm
202008,P,8,6128.0,A10BJ06,Nordfyn
202008,P,2,1882.42,A10BK03,Tønder
202008,P,5,5154.31,A10BK01,Lemvig
202008,P,18,17055.52,A10BH01,Vesthimmerland
202008,P,66,11664.84,A10AB05,Greve
202008,P,12,2678.04,A10BD07,København
202008,P,26,9299.39,A10BH02,Viborg
202008,P,36,17282.16,A10AE04,Ringkøbing-Skjern
202008,P,1,261.0,A10AB05,Assens
202008,P,3,96.0,A10BB12,Dragør
202008,P,31,18590.36,A10BJ06,Næstved
202008,P,2,662.0,A10BD20,Frederiksberg
202008,P,2,494.06,A10AE06,København
202008,P,22,14693.36,A10BJ06,Langeland
202008,P,6,5423.1,A10BD11,København
202008,S,5,67.45,A10BB12,Næstved
202008,P,1,41.65,A10BA02,Vesthimmerland
202008,P,1,376.49,A10AE04,Brøndby
202008,P,10,10060.72,A10BK03,Vesthimmerland
202008,P,1,334.8,A10BK02,Frederikssund
202008,P,10,325.0,A10BB12,Roskilde
202008,P,20,5455.0,A10AD05,Syddjurs
202008,P,1,317.68,A10BK01,Vordingborg
202008,P,4,1120.0,A10BH01,Odsherred
202008,P,1,301.71,A10BB12,København
202008,P,4,6348.47,A10BJ02,Vordingborg
