YEAR_MONTH,SECTOR_CODE,VOLUME,VALUE,WHO_ATC_CODE,MUNICIPALITY,brick_nr
202008,P,5,1562.7,A10AE04,Hillerød,111
202008,P,-1,-737.87,A10BJ01,Haderslev,311
202008,P,-1,-332.29,A10BD20,Randers,411
202008,P,1,255.0,A10AB06,Assens,303
202008,P,1,230.27,A10BD07,København,100
202008,P,1,166.21,A10AB05,Silkeborg,405
202008,P,11,18963.07,A10BJ02,Silkeborg,405
202008,P,-1,-887.0,A10BD15,Slagelse,204
202008,P,272,3615.62,A10BA02,Kolding,312
202008,P,3,76.8,A10BB12,Nyborg,302
202008,P,3,1857.66,A10BJ06,Helsingør,113
202008,P,-3,-2355.0,A10BD07,Vordingborg,207
202008,P,7,2108.05,A10BK01,Gentofte,109
202008,P,5,1680.5,A10AE04,Kalundborg,203
202008,P,23,21556.08,A10BH01,Viborg,410
202008,P,3,444.0,A10BB01,Tønder,309
202008,P,2,281.22,A10BB07,Randers,411
202008,P,2,1522.45,A10BD07,Thisted,504
202008,P,9,2508.31,A10AC01,Vordingborg,207
202008,P,15,5011.45,A10BK03,Herning,406
202008,P,4,124.4,A10BB12,Frederikssund,114
202008,P,4,2915.8,A10BD08,Glostrup,106
202008,P,1,427.91,A10BH01,Kolding,312
202008,P,4,1044.0,A10AB05,Bornholm,101
202008,P,2,1882.42,A10BK03,Tønder,309
202008,P,12,2678.04,A10BD07,København,100
202008,P,26,9299.39,A10BH02,Viborg,410
202008,P,1,261.0,A10AB05,Assens,303
202008,P,31,18590.36,A10BJ06,Næstved,206
202008,P,2,662.0,A10BD20,Frederiksberg,105
202008,P,2,494.06,A10AE06,København,100
202008,P,6,5423.1,A10BD11,København,100
202008,S,5,67.45,A10BB12,Næstved,206
202008,P,1,334.8,A10BK02,Frederikssund,114
202008,P,10,325.0,A10BB12,Roskilde,202
202008,P,1,317.68,A10BK01,Vordingborg,207
202008,P,1,301.71,A10BB12,København,100
202008,P,4,6348.47,A10BJ02,Vordingborg,207
202008,P,1,267.27,A10AB05,Hørsholm,112
202008,P,7,2383.5,A10BK03,Næstved,206
202008,P,4,1016.47,A10BD08,Tønder,309
202008,P,1,547.9,A10BD21,Kalundborg,203
202008,P,38,11214.18,A10AB05,Slagelse,204
202008,P,101,17850.74,A10AB05,Frederikssund,114
202008,P,29,391.5,A10BA02,Ballerup,115
202008,P,5,1312.24,A10AB01,Frederikshavn,508
202008,P,5,4770.0,A10BK01,Hørsholm,112
202008,P,5,4405.4,A10AE56,Roskilde,202
202008,P,18,5420.7,A10BK01,Sønderborg,307
202008,P,1,309.17,A10BH05,Hillerød,111
202008,P,1,41.0,A10BB12,København,100
202008,P,2,439.82,A10BH04,Varde,314
202008,P,1,3491.25,A10BJ02,Vejle,315
202008,P,10,250.0,A10BA02,Frederikssund,114
202008,P,8,196.8,A10BB12,Horsens,402
202008,P,6,1684.68,A10AC01,Sønderborg,307
202008,P,3,3250.93,A10BK01,Helsingør,113
202008,P,294,3033.95,A10BA02,Nyborg,302
202008,P,0,0.0,A10BB09,København,100
