brick_nr,brick,fravær
101,Bornholm,"6,2865"
102,Amager,"5,747333333333334"
103,Nørrebro/City,"5,499499999999999"
104,Vesterbro/Christianshavn,"5,58"
105,Frederiksberg,"5,5375"
106,Glostrup,"6,1286000000000005"
107,Kbh. NV,"5,508"
108,Kbh. Ø.,"5,5555"
109,Gentofte,"5,538666666666667"
110,Kgs. Lyngby,"5,968666666666667"
111,Hillerød,"5,895999999999999"
112,Hørsholm,"5,832142857142857"
113,Helsingør,"5,822"
114,Frederikssund,"6,341727272727272"
115,Ballerup,"6,382333333333334"
116,Tåstrup,"5,9404"
201,Køge Bugt,"6,1279"
202,Roskilde,"6,1089166666666666"
203,Kalundborg,"5,9895"
204,Slagelse,"5,8786"
205,Ringsted,"5,778777777777778"
206,Næstved,"6,241"
207,Vordingborg,"6,3452222222222225"
208,Falster,"6,225"
209,Lolland,"6,048500000000001"
301,Svendborg,"5,89"
302,Nyborg,"6,074846153846154"
303,Assens,"6,1212857142857136"
304,Ydre Odense,"5,536"
305,Odense City,"5,53"
306,Middelfart,"5,895"
307,Sønderborg,"5,99"
308,Aabenraa,"6,002"
309,Tønder,"5,9350000000000005"
310,Ribe,"5,530714285714287"
311,Haderslev,"6,1610000000000005"
312,Kolding,"6,209"
313,Esbjerg,"5,584166666666667"
314,Varde,"5,568125"
315,Vejle,"5,8614999999999995"
401,Hedensted,"5,538875"
402,Horsens,"5,62225"
403,Århus City,"5,28"
404,Ydre Århus,"5,28"
405,Silkeborg,"5,566538461538462"
406,Herning,"5,628076923076923"
407,Ringkøbing,"5,420999999999999"
408,Holstebro,"5,382285714285715"
409,Skive,"5,774666666666666"
410,Viborg,"5,5120000000000005"
411,Randers,"5,316833333333332"
412,Ebeltoft,"5,699272727272728"
501,Hadsund,"5,796"
502,Aalborg City,"6,06"
503,Hobro,"5,495"
504,Thisted,"5,5785"
505,Fjerritslev,"5,785500000000001"
506,Nørresundby,"6,024111111111111"
507,Hjørring,"6,112142857142857"
508,Frederikshavn,"6,036999999999999"
