brick_nr,brick,andel_med_blodprop_i_hjertet
101,Bornholm,"0,0205"
102,Amager,"0,009000000000000001"
103,Nørrebro/City,"0,0075"
104,Vesterbro/Christianshavn,"0,008"
105,Frederiksberg,"0,008"
106,Glostrup,"0,013600000000000001"
107,Kbh. NV,"0,0075"
108,Kbh. Ø.,"0,0055"
109,Gentofte,"0,007666666666666666"
110,Kgs. Lyngby,"0,0085"
111,Hillerød,"0,008333333333333333"
112,Hørsholm,"0,013333333333333334"
113,Helsingør,"0,013799999999999998"
114,Frederikssund,"0,012222222222222223"
115,Ballerup,"0,011333333333333334"
116,Tåstrup,"0,012333333333333335"
201,Køge Bugt,"0,011500000000000002"
202,Roskilde,"0,012833333333333335"
203,Kalundborg,"0,018166666666666668"
204,Slagelse,"0,013999999999999999"
205,Ringsted,"0,013285714285714286"
206,Næstved,"0,0165"
207,Vordingborg,"0,013833333333333335"
208,Falster,"0,015"
209,Lolland,"0,019000000000000003"
301,Svendborg,"0,015333333333333332"
302,Nyborg,"0,01625"
303,Assens,"0,0155"
304,Ydre Odense,"0,012"
305,Odense City,"0,012"
306,Middelfart,"0,013999999999999999"
307,Sønderborg,"0,016"
308,Aabenraa,"0,01375"
309,Tønder,"0,0165"
310,Ribe,"0,011666666666666665"
311,Haderslev,"0,013250000000000001"
312,Kolding,"0,0145"
313,Esbjerg,"0,01475"
314,Varde,"0,012999999999999998"
315,Vejle,"0,0115"
401,Hedensted,"0,011999999999999999"
402,Horsens,"0,012"
403,Århus City,"0,009"
404,Ydre Århus,"0,009"
405,Silkeborg,"0,012499999999999997"
406,Herning,"0,012"
407,Ringkøbing,"0,011599999999999997"
408,Holstebro,"0,0156"
409,Skive,"0,015666666666666666"
410,Viborg,"0,014666666666666666"
411,Randers,"0,009714285714285715"
412,Ebeltoft,"0,012333333333333333"
501,Hadsund,"0,013999999999999999"
502,Aalborg City,"0,013"
503,Hobro,"0,013999999999999999"
504,Thisted,"0,01625"
505,Fjerritslev,"0,015"
506,Nørresundby,"0,0135"
507,Hjørring,"0,014"
508,Frederikshavn,"0,013999999999999999"
