brick_nr,brick,år
101,Bornholm,"77,1905"
102,Amager,"79,96766666666666"
103,Nørrebro/City,"79,283"
104,Vesterbro/Christianshavn,"80,05"
105,Frederiksberg,"79,6455"
106,Glostrup,"80,1018"
107,Kbh. NV,"79,36500000000001"
108,Kbh. Ø.,"80,9785"
109,Gentofte,"81,98666666666666"
110,Kgs. Lyngby,"82,7264"
111,Hillerød,"82,2582"
112,Hørsholm,"82,06542857142857"
113,Helsingør,"81,014"
114,Frederikssund,"80,90827272727273"
115,Ballerup,"80,65583333333332"
116,Tåstrup,"80,7634"
201,Køge Bugt,"81,13566666666667"
202,Roskilde,"80,97009090909091"
203,Kalundborg,"80,174875"
204,Slagelse,"79,7442"
205,Ringsted,"79,93622222222223"
206,Næstved,"79,76875"
207,Vordingborg,"79,86544444444445"
208,Falster,"78,85"
209,Lolland,"78,17025"
301,Svendborg,"80,73333333333333"
302,Nyborg,"81,11907692307692"
303,Assens,"80,8752"
304,Ydre Odense,"80,89750000000001"
305,Odense City,"80,9"
306,Middelfart,"80,69999999999999"
307,Sønderborg,"81,194"
308,Aabenraa,"80,9255"
309,Tønder,"80,722"
310,Ribe,"81,15957142857144"
311,Haderslev,"81,25416666666668"
312,Kolding,"80,8945"
313,Esbjerg,"81,23960000000001"
314,Varde,"81,20375"
315,Vejle,"81,0535"
401,Hedensted,"81,2405"
402,Horsens,"81,3365"
403,Århus City,"81,5"
404,Ydre Århus,"81,5"
405,Silkeborg,"81,56769230769231"
406,Herning,"81,30030769230767"
407,Ringkøbing,"81,30233333333332"
408,Holstebro,"81,00871428571429"
409,Skive,"81,23533333333333"
410,Viborg,"81,36659999999999"
411,Randers,"80,88558333333333"
412,Ebeltoft,"80,72722222222222"
501,Hadsund,"80,6282222222222"
502,Aalborg City,"80,6"
503,Hobro,"80,56733333333334"
504,Thisted,"80,45775"
505,Fjerritslev,"80,61725"
506,Nørresundby,"80,65899999999999"
507,Hjørring,"80,9068"
508,Frederikshavn,"80,37742857142857"
