brick_nr,brick,patients,population,patients_per_1000
101,Bornholm,"2248,978472",33046,"68,05599685"
102,Amager,"6136,772115",154254,"39,78355255"
103,Nørrebro/City,"3019,148357",88293,"34,19465141"
104,Vesterbro/Christianshavn,"3387,602593",103052,"32,87274961"
105,Frederiksberg,"3574,931136",105260,"33,96286468"
106,Glostrup,"7612,328605",120784,"63,02431287"
107,Kbh. NV,"3844,163863",109310,"35,1675406"
108,Kbh. Ø.,"3294,066993",96457,"34,15062663"
109,Gentofte,"3025,262377",73945,"40,91233183"
110,Kgs. Lyngby,"3039,645929",78348,"38,79672652"
111,Hillerød,"4335,589291",95518,"45,3902855"
112,Hørsholm,"3179,372279",64031,"49,65364087"
113,Helsingør,"4074,788991",73227,"55,64599111"
114,Frederikssund,"5535,080499",96726,"57,22432954"
115,Ballerup,"4735,959031",83001,"57,0590599"
116,Tåstrup,"6179,188718",90102,"68,5799285"
201,Køge Bugt,"5959,958458",105864,"56,29825491"
202,Roskilde,"5289,851966",103171,"51,2726635"
203,Kalundborg,"7027,738707",103486,"67,91004298"
204,Slagelse,"4202,967621",66562,"63,14364985"
205,Ringsted,"4018,946158",66839,"60,12875953"
206,Næstved,"4189,080501",70026,"59,82178764"
207,Vordingborg,"3873,451601",60490,"64,03457763"
208,Falster,"3213,192353",46429,"69,20658109"
209,Lolland,"3765,766956",47483,"79,30768814"
301,Svendborg,"3078,366654",52575,"58,55190974"
302,Nyborg,"4307,787178",74474,"57,84283344"
303,Assens,"3134,362117",56493,"55,48230962"
304,Ydre Odense,"5438,289095",116500,"46,68059309"
305,Odense City,"1979,051798",48255,"41,01236758"
306,Middelfart,"3061,463442",54154,"56,53254499"
307,Sønderborg,"3907,674682",60089,"65,03144805"
308,Aabenraa,"3936,207344",60873,"64,66261469"
309,Tønder,"2043,07095",28773,"71,00653216"
310,Ribe,"2077,394413",35956,"57,77601548"
311,Haderslev,"3505,59485",59992,"58,43437209"
312,Kolding,"5447,790987",103039,"52,87115546"
313,Esbjerg,"3579,939972",66958,"53,46545553"
314,Varde,"3781,456767",68944,"54,84823577"
315,Vejle,"4389,045281",92451,"47,47428671"
401,Hedensted,"2370,547669",44554,"53,20616935"
402,Horsens,"4712,911326",90694,"51,96497371"
403,Århus City,"2169,52533",66319,"32,71348075"
404,Ydre Århus,"7242,629748",184254,"39,30785626"
405,Silkeborg,"5324,721566",113308,"46,99334174"
406,Herning,"5502,937133",101870,"54,01921206"
407,Ringkøbing,"3595,348458",60889,"59,04758591"
408,Holstebro,"4169,023897",71363,"58,41996408"
409,Skive,"2300,01127",41031,"56,05545247"
410,Viborg,"3582,229503",69294,"51,69609927"
411,Randers,"6259,278154",118010,"53,04023519"
412,Ebeltoft,"4274,203608",79861,"53,52053703"
501,Hadsund,"4849,784699",95818,"50,61454736"
502,Aalborg City,"2868,330158",67219,"42,67141966"
503,Hobro,"3474,225869",56969,"60,98449804"
504,Thisted,"3336,906572",51956,"64,225625"
505,Fjerritslev,"2074,492334",33804,"61,36825032"
506,Nørresundby,"3386,69276",65245,"51,90731489"
507,Hjørring,"3330,307144",55590,"59,90838539"
508,Frederikshavn,"3214,261846",52089,"61,7071137"
