brick_nr,brick,andel
101,Bornholm,"0,302"
102,Amager,"0,24333333333333332"
103,Nørrebro/City,"0,2215"
104,Vesterbro/Christianshavn,"0,225"
105,Frederiksberg,"0,223"
106,Glostrup,"0,3128"
107,Kbh. NV,"0,2215"
108,Kbh. Ø.,"0,22"
109,Gentofte,"0,25"
110,Kgs. Lyngby,"0,25359999999999994"
111,Hillerød,"0,2752"
112,Hørsholm,"0,2974285714285715"
113,Helsingør,"0,2976666666666667"
114,Frederikssund,"0,29519999999999996"
115,Ballerup,"0,29716666666666663"
116,Tåstrup,"0,2996666666666667"
201,Køge Bugt,"0,30844444444444447"
202,Roskilde,"0,3159090909090909"
203,Kalundborg,"0,35575"
204,Slagelse,"0,33420000000000005"
205,Ringsted,"0,32699999999999996"
206,Næstved,"0,320875"
207,Vordingborg,"0,334"
208,Falster,"0,345"
209,Lolland,"0,35925000000000007"
301,Svendborg,"0,34"
302,Nyborg,"0,3234285714285714"
303,Assens,"0,3121428571428572"
304,Ydre Odense,"0,2725"
305,Odense City,"0,27"
306,Middelfart,"0,35"
307,Sønderborg,"0,3305"
308,Aabenraa,"0,33866666666666667"
309,Tønder,"0,3485"
310,Ribe,"0,3236"
311,Haderslev,"0,34"
312,Kolding,"0,332"
313,Esbjerg,"0,30816666666666664"
314,Varde,"0,31633333333333336"
315,Vejle,"0,32660000000000006"
401,Hedensted,"0,30483333333333335"
402,Horsens,"0,27116666666666667"
403,Århus City,"0,24"
404,Ydre Århus,"0,24"
405,Silkeborg,"0,2865454545454545"
406,Herning,"0,2979"
407,Ringkøbing,"0,3164285714285714"
408,Holstebro,"0,29983333333333334"
409,Skive,"0,2936666666666667"
410,Viborg,"0,287"
411,Randers,"0,2853333333333334"
412,Ebeltoft,"0,2901"
501,Hadsund,"0,29075"
502,Aalborg City,"0,27"
503,Hobro,"0,30150000000000005"
504,Thisted,"0,30575"
505,Fjerritslev,"0,30825"
506,Nørresundby,"0,2905555555555555"
507,Hjørring,"0,304"
508,Frederikshavn,"0,2945"
