brick_nr,value_DPP-IV,value_GLP-1,value_Metformin,value_New generation insulin in basal,value_SGLT-2,volume_DPP-IV,volume_GLP-1,volume_Metformin,volume_New generation insulin in basal,volume_SGLT-2
101,663029.9299999999,4206135.32,154482.57,1734336.64,743326.79,1224,4832,12808,3737,1156
102,3219103.19,9227040.07,529689.23,4366710.75,4051905.06,6026,10647,36297,10088,5392
103,1322399.98,2881603.88,202458.72,1964112.71,1784510.95,2687,3048,15405,4687,2637
104,1573993.89,4213623.21,216250.9,2193008.79,1878387.76,2926,4728,16713,5198,2728
105,1758488.68,5133362.55,267224.83,2491994.7,2283338.87,3099,5592,20406,5956,3212
106,4783097.34,12412591.16,664109.17,5351573.43,5897896.9399999995,8702,13947,46902,12400,8255
107,2004042.57,4596125.36,266095.53,2496010.49,2357178.61,3796,5123,20840,6090,3522
108,1210111.02,2594955.56,156253.18,1408306.67,1486516.6400000001,2202,2928,12072,3282,1988
109,1313179.3,4209053.25,168821.1,1919182.67,1652487.4000000001,2234,4712,13214,4367,2109
110,1482203.02,4018170.56,181462.22,2453182.42,1631059.98,2433,4492,14435,5377,2110
111,2175925.63,5845150.37,299807.6,2765624.91,2611486.27,3987,6672,23405,6642,3631
112,1639907.99,3507546.85,202156.11,1938467.22,1741541.73,3151,3891,15801,4722,2446
113,2060353.91,6452070.61,287612.34,3279452.34,2337516.3,3972,7256,22075,8171,3371
114,2386041.69,8064099.6899999995,387165.25,4048785.25,3331641.31,4513,9093,31388,10115,4721
115,2458745.95,10154805.69,470944.44,4875808.29,3781367.29,4635,10088,36784,11415,6122
116,3056311.17,8477986.56,412255.73,3851115.38,4135102.46,6418,9761,32109,8887,6877
201,2610091.7399999998,8866186.25,385826.17,4514895.28,3686290.09,5530,10425,30854,10794,5842
202,2150250.26,7157988.65,369050.01,3523215.29,2971664.48,3832,8314,29966,8587,4311
203,3001867.05,13241082.969999999,480835.71,4774133.09,3926360.1100000003,5622,15318,39731,11044,5873
204,1550720.04,6835544.87,316997.65,3281527.28,2555630.95,2832,7984,24762,7648,3624
205,1658254.1400000001,5759988.11,292258.3,3203743.2800000003,2213886.79,3188,6725,22791,7496,3138
206,1755690.59,7332736.82,292495.21,3726245.0,2418659.87,3758,8570,23796,8990,3592
207,1251133.45,7072699.88,267486.42,3091787.38,1757855.25,2442,8177,21368,7305,2898
208,1540225.32,5293569.37,230154.51,2916407.84,1653746.6300000001,2796,5899,18220,6799,2659
209,1330442.21,4936502.4,261682.94,3052523.67,1518967.39,2931,5827,20943,6910,2786
301,1166103.21,3721359.43,212132.52,2449636.7199999997,1293357.84,2210,4211,17585,6067,1912
302,1430521.75,5509666.2,272386.9,2499179.55,1662261.45,2618,6269,21857,6226,2553
303,1216368.75,4683279.31,212312.57,2308234.31,1363443.4300000002,2314,5404,17688,5588,2035
304,2187409.79,7639981.44,409951.74,3849865.21,3129593.3200000003,3832,8386,33063,9340,4616
305,958915.3200000001,2959103.1,166698.85,1886881.3699999999,1283023.83,1689,3312,13468,4732,2045
306,1076150.86,5226303.6,227842.9,2712280.81,1538793.8599999999,2035,5833,19151,6415,2292
307,2183042.75,4857084.72,244450.71,3351317.2800000003,2589786.1,3942,5807,19717,7742,3850
308,2640204.01,5274399.58,374685.63,2920643.49,3084623.5300000003,4918,6313,25318,6844,4711
309,1213573.69,2968463.12,117152.37,1524885.74,1645998.1600000001,2609,3552,9564,3617,2510
310,695347.4,2378959.15,135473.05,2189528.15,873533.25,1353,2762,11474,5046,1430
311,1499326.43,3981733.52,227896.58,2752564.94,1807309.16,2663,4674,18352,6350,2666
312,2169019.58,8291219.87,405511.13,5204617.72,3729909.31,4165,9232,32946,12156,5571
313,1876062.07,4788118.01,271365.72,3204227.43,2020051.75,3998,5561,21957,8001,3145
314,1548657.07,4639460.11,275892.52,3347459.62,2155005.08,3031,5437,23409,8344,3250
315,1681990.74,5402719.52,298935.38,3667446.55,2600696.05,3034,6285,24677,8475,3524
401,990376.14,3947148.29,192592.76,1854896.78,1549230.53,1755,4360,15429,4234,2126
402,2020353.7,7141833.6899999995,352378.16000000003,2909191.1,2594721.76,3826,7855,28600,7155,3560
403,705184.66,2134257.2600000002,117195.52,1409027.28,972711.31,1354,2137,9627,3672,1579
404,3258704.3,9360032.98,576934.9299999999,4768309.87,4724623.32,6016,10585,44598,11837,7238
405,1813177.3,6474231.97,361310.18,3914965.98,2742111.16,3455,7214,27857,9912,3797
406,1990153.32,7411446.58,377916.82,5060123.78,3295582.56,3614,8642,30408,11826,4842
407,765742.9299999999,6439121.6899999995,221010.36,3182037.85,1971828.1,1354,7543,18355,7085,2808
408,2195819.38,6606634.86,369385.36,3217386.09,2347634.67,3820,7675,27827,7587,3610
409,1213381.95,2632715.7,169061.4,1884888.49,1874869.94,2255,3049,13372,4712,2849
410,1540407.1600000001,4483167.99,221785.91,2121895.87,2372031.72,2957,5122,18379,5188,3722
411,2916014.01,6497194.0200000005,384855.4,4707019.54,3588178.8,5581,7558,32007,11754,5371
412,1539409.54,5065352.72,272096.72,2902018.86,2111800.7,2853,5683,23296,7101,3109
501,2639971.24,4305550.18,316885.33,3265944.96,2735092.62,4538,4881,26507,8359,3938
502,1510649.68,2378072.77,212101.41,2266119.83,1519504.62,2651,2498,17115,5750,2303
503,2025416.19,4549832.53,277659.57,3053360.03,2364899.06,3631,5413,23562,7673,3568
504,1509189.26,3770688.5300000003,225584.74,2454639.62,1796280.62,2874,4064,17721,5998,2650
505,976914.05,2272721.56,152454.85,1648843.56,1179294.17,1750,2531,12311,4120,1648
506,1711065.29,4404252.48,254735.84,2817354.0,2015311.69,2864,4892,21570,7047,3044
507,1381766.18,3329583.7,208498.9,2898910.33,1816032.31,2187,3746,16662,7069,2520
508,2194094.26,2914704.2199999997,282860.83,2484561.48,2092425.63,3976,3379,20311,6338,3312
601,868615.58,4443717.85,214098.32,1650414.15,1393899.79,1086,5004,16603,3298,1531
700,803000.36,0.0,129324.31,2692.21,1083099.74,1383,0,9932,6,1544
