SITE_SHORT;PERIOD_ID;COUNT_;WHO_ATC_CODE;CATEGORY;BRICK_NAME;BRICK_NO
min;202006;1;A10AE04;New generation insulin in basal;Aabenraa;308
pro;202006;3;A10AE04;New generation insulin in basal;Aabenraa;308
min;202006;13;A10AE04;New generation insulin in basal;Aalborg City;502
pro;202006;26;A10AE04;New generation insulin in basal;Aalborg City;502
min;202006;17;A10AE04;New generation insulin in basal;Amager;102
pro;202006;21;A10AE04;New generation insulin in basal;Amager;102
min;202006;1;A10AE04;New generation insulin in basal;Assens;303
pro;202006;6;A10AE04;New generation insulin in basal;Assens;303
min;202006;4;A10AE04;New generation insulin in basal;Ballerup;115
pro;202006;14;A10AE04;New generation insulin in basal;Ballerup;115
min;202006;2;A10AE04;New generation insulin in basal;Ebeltoft;412
pro;202006;2;A10AE04;New generation insulin in basal;Ebeltoft;412
min;202006;1;A10AE04;New generation insulin in basal;Esbjerg;313
pro;202006;3;A10AE04;New generation insulin in basal;Esbjerg;313
pro;202006;1;A10AE04;New generation insulin in basal;Falster;208
pro;202006;1;A10AE04;New generation insulin in basal;Fjerritslev;505
min;202006;4;A10AE04;New generation insulin in basal;Frederiksberg;105
pro;202006;15;A10AE04;New generation insulin in basal;Frederiksberg;105
min;202006;3;A10AE04;New generation insulin in basal;Frederikshavn;508
pro;202006;4;A10AE04;New generation insulin in basal;Frederikshavn;508
min;202006;2;A10AE04;New generation insulin in basal;Frederikssund;114
pro;202006;1;A10AE04;New generation insulin in basal;Frederikssund;114
min;202006;4;A10AE04;New generation insulin in basal;Gentofte;109
pro;202006;14;A10AE04;New generation insulin in basal;Gentofte;109
min;202006;10;A10AE04;New generation insulin in basal;Glostrup;106
pro;202006;6;A10AE04;New generation insulin in basal;Glostrup;106
min;202006;6;A10AE04;New generation insulin in basal;Haderslev;311
pro;202006;26;A10AE04;New generation insulin in basal;Haderslev;311
min;202006;1;A10AE04;New generation insulin in basal;Hadsund;501
pro;202006;7;A10AE04;New generation insulin in basal;Hadsund;501
pro;202006;3;A10AE04;New generation insulin in basal;Hedensted;401
min;202006;2;A10AE04;New generation insulin in basal;Helsingør;113
pro;202006;4;A10AE04;New generation insulin in basal;Helsingør;113
min;202006;6;A10AE04;New generation insulin in basal;Herning;406
pro;202006;11;A10AE04;New generation insulin in basal;Herning;406
min;202006;10;A10AE04;New generation insulin in basal;Hillerød;111
pro;202006;26;A10AE04;New generation insulin in basal;Hillerød;111
min;202006;35;A10AE04;New generation insulin in basal;Hjørring;507
pro;202006;62;A10AE04;New generation insulin in basal;Hjørring;507
min;202006;1;A10AE04;New generation insulin in basal;Holstebro;408
pro;202006;5;A10AE04;New generation insulin in basal;Holstebro;408
min;202006;15;A10AE04;New generation insulin in basal;Horsens;402
pro;202006;30;A10AE04;New generation insulin in basal;Horsens;402
min;202006;3;A10AE04;New generation insulin in basal;Hørsholm;112
pro;202006;4;A10AE04;New generation insulin in basal;Hørsholm;112
min;202006;14;A10AE04;New generation insulin in basal;Kalundborg;203
pro;202006;10;A10AE04;New generation insulin in basal;Kalundborg;203
min;202006;3;A10AE04;New generation insulin in basal;Kbh. NV;107
pro;202006;5;A10AE04;New generation insulin in basal;Kbh. NV;107
min;202006;1;A10AE04;New generation insulin in basal;Kbh. Ø.;108
pro;202006;7;A10AE04;New generation insulin in basal;Kbh. Ø.;108
min;202006;5;A10AE04;New generation insulin in basal;Kgs. Lyngby;110
pro;202006;9;A10AE04;New generation insulin in basal;Kgs. Lyngby;110
min;202006;3;A10AE04;New generation insulin in basal;Kolding;312
pro;202006;15;A10AE04;New generation insulin in basal;Kolding;312
