brick_nr;brick;antal;brick_navn;population;value_per_1000
101;Bornholm;6035,258672188186;Bornholm;33046;182,6320484230523
102;Amager;64810,874711589306;Amager;154254;420,15684981646706
103;Noerrebro/City;44280,90932139913;Noerrebro/City;88293;501,5223100517496
104;Vesterbro/Christianshavn;49553,41956356552;Vesterbro/Christianshavn;103052;480,85839734857666
105;Frederiksberg;52262,04744646349;Frederiksberg;105260;496,5043458717793
106;Glostrup;32230,66824967244;Glostrup;120784;266,8455114060839
107;Kbh. NV;56569,263690124484;Kbh. NV;109310;517,5122467306238
108;Kbh. Oe.;48268,28592467635;Kbh. Oe.;96457;500,41247317121986
109;Gentofte;31253,347029215405;Gentofte;73945;422,65666413165735
110;Kgs. Lyngby;34937,02451580705;Kgs. Lyngby;78348;445,9210766810518
111;Hilleroed;35813,61000497614;Hilleroed;95518;374,94095358964944
112;Hoersholm;22223,868422386793;Hoersholm;64031;347,0798273084411
113;Helsingoer;19489,85524115885;Helsingoer;73227;266,1566804752188
114;Frederikssund;25288,72764116988;Frederikssund;96726;261,44705292444513
115;Ballerup;24386,68890050315;Ballerup;83001;293,81198901824257
116;Taastrup;22785,498333914555;Taastrup;90102;252,88560003012756
201;Koege Bugt;26655,393034175577;Koege Bugt;105864;251,7890220865977
202;Roskilde;30626,83487458311;Roskilde;103171;296,85507433855554
203;Kalundborg;20283,71926056732;Kalundborg;103486;196,0044765530344
204;Slagelse;13468,55015332972;Slagelse;66562;202,34593541855293
205;Ringsted;15056,20774297051;Ringsted;66839;225,26081693278638
206;Naestved;15121,612267215218;Naestved;70026;215,94282505376884
207;Vordingborg;12043,591695613846;Vordingborg;60490;199,10054051271032
208;Falster;8575,4995669021;Falster;46429;184,70136265915912
209;Lolland;6827,559645199518;Lolland;47483;143,7895593201676
301;Svendborg;11686,574867759336;Svendborg;52575;222,28387765590747
302;Nyborg;16112,821480130215;Nyborg;74474;216,35498939401958
303;Assens;11941,766029395132;Assens;56493;211,38488006293048
304;Ydre Odense;39717,348097726135;Ydre Odense;116500;340,9214428989368
305;Odense City;14517,106108492562;Odense City;48255;300,8414901770296
306;Middelfart;12101,247223029828;Middelfart;54154;223,4598962778341
307;Soenderborg;14038,60953515652;Soenderborg;60089;233,63027401282298
308;Aabenraa;11845,819973539024;Aabenraa;60873;194,59891862630434
309;Toender;4859,112963147546;Toender;28773;168,87752278690252
310;Ribe;7742,227724725787;Ribe;35956;215,3250563112078
311;Haderslev;13340,673559415749;Haderslev;59992;222,37420921815823
312;Kolding;26132,627355382854;Kolding;103039;253,61879827427336
313;Esbjerg;16393,98971052152;Esbjerg;66958;244,83989531529497
314;Varde;14576,193269829138;Varde;68944;211,42076569141824
315;Vejle;24504,39994800566;Vejle;92451;265,05283823869576
401;Hedensted;10195,169078910756;Hedensted;44554;228,82724511628038
402;Horsens;25292,561758285665;Horsens;90694;278,87800470026315
403;Aarhus City;23503,461421150456;Aarhus City;66319;354,40011793227364
404;Ydre Aarhus;78462,72477720058;Ydre Aarhus;184254;425,8400076915594
405;Silkeborg;35785,14184626857;Silkeborg;113308;315,82184705641765
406;Herning;24139,10714045674;Herning;101870;236,95992088403594
407;Ringkoebing;12206,613175366167;Ringkoebing;60889;200,4732082209622
408;Holstebro;15153,558385403654;Holstebro;71363;212,34474987603735
409;Skive;8619,693062225031;Skive;41031;210,07757700823842
410;Viborg;17530,890121949178;Viborg;69294;252,99290157804683
411;Randers;29386,78191809496;Randers;118010;249,01942138882262
412;Ebeltoft;19985,161261638495;Ebeltoft;79861;250,24932397088062
501;Hadsund;29237,325031118104;Hadsund;95818;305,13395219184395
502;Aalborg City;20066,552736309026;Aalborg City;67219;298,52501132580113
503;Hobro;11390,078038769021;Hobro;56969;199,93466690250875
504;Thisted;8723,469593441381;Thisted;51956;167,90110080532335
505;Fjerritslev;7149,7619300234255;Fjerritslev;33804;211,50638770628996
506;Noerresundby;17364,49799255297;Noerresundby;65245;266,142968695731
507;Hjoerring;11215,689187857988;Hjoerring;55590;201,7573158456195
508;Frederikshavn;9268,414518691592;Frederikshavn;52089;177,93419951797102
