brick_nr;brick;anddel
101;Bornholm;0,4065
102;Amager;0,32666666666666666
103;Nørrebro/City;0,305
104;Vesterbro/Christianshavn;0,3075
105;Frederiksberg;0,306
106;Glostrup;0,37839999999999996
107;Kbh. NV;0,305
108;Kbh. Ø.;0,3105
109;Gentofte;0,3276666666666667
110;Kgs. Lyngby;0,332
111;Hillerød;0,34959999999999997
112;Hørsholm;0,3755714285714286
113;Helsingør;0,3924
114;Frederikssund;0,3857272727272727
115;Ballerup;0,36140000000000005
116;Tåstrup;0,3516
201;Køge Bugt;0,35922222222222217
202;Roskilde;0,359
203;Kalundborg;0,39075000000000004
204;Slagelse;0,38739999999999997
205;Ringsted;0,37755555555555553
206;Næstved;0,37585714285714295
207;Vordingborg;0,3791111111111111
208;Falster;0,404
209;Lolland;0,421
301;Svendborg;0,3633333333333333
302;Nyborg;0,3732499999999999
303;Assens;0,3697142857142857
304;Ydre Odense;0,3555
305;Odense City;0,355
306;Middelfart;0,37
307;Sønderborg;0,3645
308;Aabenraa;0,358
309;Tønder;0,336
310;Ribe;0,36366666666666664
311;Haderslev;0,3468
312;Kolding;0,3525
313;Esbjerg;0,3621666666666667
314;Varde;0,3468333333333334
315;Vejle;0,354
401;Hedensted;0,35614285714285715
402;Horsens;0,35174999999999995
403;Århus City;0,316
404;Ydre Århus;0,316
405;Silkeborg;0,3404615384615385
406;Herning;0,3556
407;Ringkøbing;0,3498333333333334
408;Holstebro;0,3595
409;Skive;0,378
410;Viborg;0,36524999999999996
411;Randers;0,35400000000000004
412;Ebeltoft;0,3761
501;Hadsund;0,3746250000000001
502;Aalborg City;0,36
503;Hobro;0,3861111111111112
504;Thisted;0,39175000000000004
505;Fjerritslev;0,39675
506;Nørresundby;0,3885555555555556
507;Hjørring;0,398
508;Frederikshavn;0,39516666666666667
