brick_id,brick_name,t2d_patients,t2d_prevalence_per_1000,morbid_obesity_share,longterm_disease_share,fraction_blood_clot,higher_education_per_1000,minimum_physical_activity,life_expectancy_years,work_absence_rate,sales_glp_volume_total,sales_glp_value_total,sales_glp_volume_share,Factor1,Factor2,Factor3,population,glp1_sales_value_per_1,glp1_sales_volume_per_1,glp1_unit_price
101,Bornholm,2248.978472,68.055997,0.175500,0.406500,0.020500,182.632048,0.302000,77.190500,6.286500,4832,4206135.320000,0.012685,0.440208,-1.421423,4.087883,33046.000000,127.281224,0.146220,870.4750248344371
102,Amager,6136.772115,39.783553,0.130333,0.326667,0.009000,420.156850,0.243333,79.967667,5.747333,10647,9227040.070000,0.027951,-1.697972,1.433589,0.929766,154254.000000,59.817185,0.069023,866.632860899784
103,Noerrebro/City,3019.148357,34.194651,0.107500,0.305000,0.007500,501.522310,0.221500,79.283000,5.499500,3048,2881603.880000,0.008002,-2.510865,-0.951002,1.487976,88293.000000,32.636833,0.034521,945.4080971128609
104,Vesterbro/Christianshavn,3387.602593,32.872750,0.100000,0.307500,0.008000,480.858397,0.225000,80.050000,5.580000,4728,4213623.210000,0.012412,-2.322488,-0.567296,0.858742,103052.000000,40.888321,0.045880,891.2062626903553
105,Frederiksberg,3574.931136,33.962865,0.104000,0.306000,0.008000,496.504346,0.223000,79.645500,5.537500,5592,5133362.550000,0.014680,-2.421395,-0.508538,1.201546,105260.000000,48.768407,0.053126,917.9832886266095
106,Glostrup,7612.328605,63.024313,0.184000,0.378400,0.013600,266.845511,0.312800,80.101800,6.128600,13947,12412591.160000,0.036614,0.254226,2.750593,0.885885,120784.000000,102.766850,0.115471,889.9828751702876
107,Kbh. NV,3844.163863,35.167541,0.106500,0.305000,0.007500,517.512247,0.221500,79.365000,5.508000,5123,4596125.360000,0.013449,-2.536409,-0.344208,1.444335,109310.000000,42.046705,0.046867,897.1550575834473
108,Kbh. Oe.,3294.066993,34.150627,0.096500,0.310500,0.005500,500.412473,0.220000,80.978500,5.555500,2928,2594955.560000,0.007687,-2.327751,-0.457462,-0.019235,96457.000000,26.902719,0.030355,886.2553142076503
109,Gentofte,3025.262377,40.912332,0.110667,0.327667,0.007667,422.656664,0.250000,81.986667,5.538667,4712,4209053.250000,0.012370,-1.380207,-0.604704,-1.145976,73945.000000,56.921404,0.063723,893.262574278438
110,Kgs. Lyngby,3039.645929,38.796727,0.094500,0.332000,0.008500,445.921077,0.253600,82.726400,5.968667,4492,4018170.560000,0.011793,-1.331767,-0.110714,-1.185523,78348.000000,51.286192,0.057334,894.5170436331256
111,Hilleroed,4335.589291,45.390285,0.123000,0.349600,0.008333,374.940954,0.275200,82.258200,5.896000,6672,5845150.370000,0.017516,-0.795899,0.654758,-1.100470,95518.000000,61.194229,0.069851,876.0716981414869
112,Hoersholm,3179.372279,49.653641,0.132571,0.375571,0.013333,347.079827,0.297429,82.065429,5.832143,3891,3507546.850000,0.010215,-0.112275,-0.367049,-0.909915,64031.000000,54.778886,0.060767,901.4512593163712
113,Helsingoer,4074.788991,55.645991,0.169200,0.392400,0.013800,266.156680,0.297667,81.014000,5.822000,7256,6452070.610000,0.019049,0.276686,0.034473,-0.136647,73227.000000,88.110541,0.099089,889.2048800992283
114,Frederikssund,5535.080499,57.224330,0.174000,0.385727,0.012222,261.447053,0.295200,80.908273,6.341727,9093,8064099.690000,0.023871,0.170290,1.575408,0.506412,96726.000000,83.370549,0.094008,886.8469910920488
115,Ballerup,4735.959031,57.059060,0.172833,0.361400,0.011333,293.811989,0.297167,80.655833,6.382333,10088,10154805.690000,0.026483,-0.111507,1.118047,0.749102,83001.000000,122.345582,0.121541,1006.6222928231562
116,Taastrup,6179.188718,68.579928,0.185750,0.351600,0.012333,252.885600,0.299667,80.763400,5.940400,9761,8477986.560000,0.025625,0.256137,1.720382,-0.030395,90102.000000,94.093212,0.108333,868.5571724208586
