brick_id,brick_name,t2d_patients,t2d_prevalence_per_1000,morbid_obesity_share,longterm_disease_share,fraction_blood_clot,higher_education_per_1000,minimum_physical_activity,life_expectancy_years,work_absence_rate
101,Bornholm,2248.978472,68.05599685,0.1755,0.4065,0.0205,182.6320484230523,0.302,77.1905,6.2865
102,Amager,6136.772115,39.78355255,0.1303333333333333,0.3266666666666666,0.009,420.1568498164671,0.2433333333333333,79.96766666666666,5.747333333333334
103,Noerrebro/City,3019.148357,34.19465141,0.1075,0.305,0.0075,501.5223100517496,0.2215,79.283,5.499499999999999
104,Vesterbro/Christianshavn,3387.602593,32.87274961,0.1,0.3075,0.008,480.8583973485767,0.225,80.05,5.58
105,Frederiksberg,3574.931136,33.96286468,0.104,0.306,0.008,496.5043458717793,0.223,79.6455,5.5375
106,Glostrup,7612.328605,63.02431287,0.184,0.3783999999999999,0.0136,266.8455114060839,0.3128,80.1018,6.1286000000000005
107,Kbh. NV,3844.163863,35.1675406,0.1065,0.305,0.0075,517.5122467306238,0.2215,79.36500000000001,5.508
108,Kbh. Oe.,3294.066993,34.15062663,0.0965,0.3105,0.0055,500.4124731712199,0.22,80.9785,5.5555
109,Gentofte,3025.262377,40.91233183,0.1106666666666666,0.3276666666666667,0.0076666666666666,422.65666413165735,0.25,81.98666666666666,5.538666666666667
110,Kgs. Lyngby,3039.645929,38.79672652,0.0945,0.332,0.0085,445.9210766810518,0.2535999999999999,82.7264,5.968666666666667
111,Hilleroed,4335.589291,45.3902855,0.123,0.3495999999999999,0.0083333333333333,374.94095358964944,0.2752,82.2582,5.895999999999999
112,Hoersholm,3179.372279,49.65364087,0.1325714285714286,0.3755714285714286,0.0133333333333333,347.0798273084411,0.2974285714285715,82.06542857142857,5.832142857142857
113,Helsingoer,4074.788991,55.64599111,0.1692,0.3924,0.0137999999999999,266.1566804752188,0.2976666666666667,81.014,5.822
114,Frederikssund,5535.080499,57.22432954,0.174,0.3857272727272727,0.0122222222222222,261.4470529244452,0.2951999999999999,80.90827272727273,6.341727272727272
115,Ballerup,4735.959031,57.0590599,0.1728333333333333,0.3614,0.0113333333333333,293.81198901824257,0.2971666666666666,80.65583333333332,6.382333333333334
116,Taastrup,6179.188718,68.5799285,0.18575,0.3516,0.0123333333333333,252.8856000301276,0.2996666666666667,80.7634,5.9404
201,Koege Bugt,5959.958458,56.29825491,0.1784285714285714,0.3592222222222221,0.0115,251.7890220865977,0.3084444444444444,81.13566666666667,6.1279
202,Roskilde,5289.851966,51.2726635,0.1874545454545454,0.359,0.0128333333333333,296.85507433855554,0.3159090909090909,80.97009090909091,6.1089166666666666
203,Kalundborg,7027.738707,67.91004298,0.215,0.39075,0.0181666666666666,196.0044765530344,0.35575,80.174875,5.9895
204,Slagelse,4202.967621,63.14364985,0.217,0.3873999999999999,0.0139999999999999,202.34593541855293,0.3342,79.7442,5.8786
205,Ringsted,4018.946158,60.12875953,0.2082222222222222,0.3775555555555555,0.0132857142857142,225.2608169327864,0.3269999999999999,79.93622222222223,5.778777777777778
206,Naestved,4189.080501,59.82178764,0.2272857142857142,0.3758571428571429,0.0165,215.94282505376884,0.320875,79.76875,6.241
207,Vordingborg,3873.451601,64.03457763,0.2311428571428571,0.3791111111111111,0.0138333333333333,199.10054051271032,0.334,79.86544444444445,6.345222222222223
208,Falster,3213.192353,69.20658109,0.2249999999999999,0.404,0.015,184.70136265915912,0.345,78.85,6.225
209,Lolland,3765.766956,79.30768814,0.22925,0.421,0.019,143.7895593201676,0.35925,78.17025,6.048500000000001
301,Svendborg,3078.366654,58.55190974,0.19,0.3633333333333333,0.0153333333333333,222.28387765590747,0.34,80.73333333333333,5.89
302,Nyborg,4307.787178,57.84283344,0.1898461538461538,0.3732499999999999,0.01625,216.3549893940196,0.3234285714285714,81.11907692307692,6.074846153846154
303,Assens,3134.362117,55.48230962,0.17525,0.3697142857142857,0.0155,211.38488006293048,0.3121428571428572,80.8752,6.1212857142857136
304,Ydre Odense,5438.289095,46.68059309,0.162,0.3555,0.012,340.9214428989368,0.2725,80.89750000000001,5.536
305,Odense City,1979.051798,41.01236758,0.16,0.355,0.012,300.8414901770296,0.27,80.9,5.53
306,Middelfart,3061.463442,56.53254499,0.215,0.37,0.0139999999999999,223.4598962778341,0.35,80.69999999999999,5.895
307,Soenderborg,3907.674682,65.03144805,0.199,0.3645,0.016,233.63027401282295,0.3305,81.194,5.99
308,Aabenraa,3936.207344,64.66261469,0.2063333333333333,0.358,0.01375,194.59891862630437,0.3386666666666666,80.9255,6.002
309,Toender,2043.07095,71.00653216,0.2165,0.336,0.0165,168.87752278690252,0.3485,80.722,5.9350000000000005
310,Ribe,2077.394413,57.77601548,0.2085714285714285,0.3636666666666666,0.0116666666666666,215.3250563112078,0.3236,81.15957142857144,5.530714285714287
311,Haderslev,3505.59485,58.43437209,0.1955,0.3468,0.01325,222.37420921815823,0.34,81.25416666666668,6.1610000000000005
312,Kolding,5447.790987,52.87115546,0.179,0.3525,0.0145,253.61879827427336,0.332,80.8945,6.209
313,Esbjerg,3579.939972,53.46545553,0.1984999999999999,0.3621666666666667,0.01475,244.83989531529497,0.3081666666666666,81.23960000000001,5.584166666666667
314,Varde,3781.456767,54.84823577,0.2077999999999999,0.3468333333333334,0.0129999999999999,211.42076569141824,0.3163333333333333,81.20375,5.568125
