brick_id,brick_name,cluster
101,Bornholm,3
102,Amager,2
103,Nørrebro/City,2
104,Vesterbro/Christianshavn,2
105,Frederiksberg,2
106,Glostrup,0
107,Kbh. NV,2
108,Kbh. Ø.,2
109,Gentofte,2
110,Kgs. Lyngby,2
111,Hillerød,1
112,Hørsholm,1
113,Helsingør,1
114,Frederikssund,1
115,Ballerup,1
116,Tåstrup,0
201,Køge Bugt,1
202,Roskilde,1
203,Kalundborg,0
204,Slagelse,3
205,Ringsted,0
206,Næstved,3
207,Vordingborg,0
208,Falster,0
209,Lolland,0
301,Svendborg,0
302,Nyborg,0
303,Assens,1
304,Ydre Odense,1
305,Odense City,1
306,Middelfart,0
307,Sønderborg,3
308,Aabenraa,0
309,Tønder,3
310,Ribe,0
311,Haderslev,3
312,Kolding,1
313,Esbjerg,3
314,Varde,0
315,Vejle,3
401,Hedensted,1
402,Horsens,1
403,Århus City,2
404,Ydre Århus,2
405,Silkeborg,1
406,Herning,1
407,Ringkøbing,0
408,Holstebro,0
409,Skive,3
410,Viborg,3
411,Randers,1
412,Ebeltoft,1
501,Hadsund,1
502,Aalborg City,1
503,Hobro,0
504,Thisted,0
505,Fjerritslev,0
506,Nørresundby,1
507,Hjørring,3
508,Frederikshavn,3
